,id,episode_id,number,raw_text,timestamp_in_ms,speaking_line,character_id,location_id,raw_character_text,raw_location_text,spoken_words,normalized_text,word_count
0,10368,35,29,"Lisa Simpson: Maggie, look. What's that?",235000,True,9,5.0,Lisa Simpson,Simpson Home,"Maggie, look. What's that?",maggie look whats that,4.0
1,10369,35,30,Lisa Simpson: Lee-mur. Lee-mur.,237000,True,9,5.0,Lisa Simpson,Simpson Home,Lee-mur. Lee-mur.,lee-mur lee-mur,2.0
2,10370,35,31,Lisa Simpson: Zee-boo. Zee-boo.,239000,True,9,5.0,Lisa Simpson,Simpson Home,Zee-boo. Zee-boo.,zee-boo zee-boo,2.0
3,10372,35,33,Lisa Simpson: I'm trying to teach Maggie that nature doesn't end with the barnyard. I want her to have all the advantages that I didn't have.,245000,True,9,5.0,Lisa Simpson,Simpson Home,I'm trying to teach Maggie that nature doesn't end with the barnyard. I want her to have all the advantages that I didn't have.,im trying to teach maggie that nature doesnt end with the barnyard i want her to have all the advantages that i didnt have,24.0
4,10374,35,35,"Lisa Simpson: It's like an ox, only it has a hump and a dewlap. (SINGSONG TO MAGGIE) Hump and dew-lap. Hump and dew-lap.",254000,True,9,5.0,Lisa Simpson,Simpson Home,"It's like an ox, only it has a hump and a dewlap. Hump and dew-lap. Hump and dew-lap.",its like an ox only it has a hump and a dewlap hump and dew-lap hump and dew-lap,18.0
5,10378,35,39,"Lisa Simpson: You know his blood type, how romantic.",266000,True,9,5.0,Lisa Simpson,Simpson Home,"You know his blood type, how romantic.",you know his blood type how romantic,7.0
6,10380,35,41,"Lisa Simpson: Oh, yeah? What's my shoe size?",271000,True,9,5.0,Lisa Simpson,Simpson Home,"Oh, yeah? What's my shoe size?",oh yeah whats my shoe size,6.0
7,10386,35,47,Lisa Simpson: Ring.,276000,True,9,5.0,Lisa Simpson,Simpson Home,Ring.,ring,1.0
8,10448,35,109,"Lisa Simpson: Yes, Dad.",514000,True,9,5.0,Lisa Simpson,Simpson Home,"Yes, Dad.",yes dad,2.0
9,10528,35,189,"Lisa Simpson: Ooh, look, Maggie, what is that? Do-dec-ah-edron. Dodecahedron.",861000,True,9,5.0,Lisa Simpson,Simpson Home,"Ooh, look, Maggie, what is that? Do-dec-ah-edron. Dodecahedron.",ooh look maggie what is that do-dec-ah-edron dodecahedron,8.0
10,10561,35,222,"Lisa Simpson: (COMFORTING) That's okay, Bart. Nobody really believed it. We were just trying to scare you.",1017000,True,9,5.0,Lisa Simpson,Simpson Home,"That's okay, Bart. Nobody really believed it. We were just trying to scare you.",thats okay bart nobody really believed it we were just trying to scare you,14.0
11,10616,35,277,"Lisa Simpson: Wait, Dad, he's smiling.",1197000,True,9,5.0,Lisa Simpson,Simpson Home,"Wait, Dad, he's smiling.",wait dad hes smiling,4.0
12,10621,35,282,"Lisa Simpson: It's to open the crate, stupid.",1219000,True,9,5.0,Lisa Simpson,Simpson Home,"It's to open the crate, stupid.",its to open the crate stupid,6.0
13,10627,35,288,"Lisa Simpson: (SWEETLY) No, Maggie. Not Az-tec. Ol-mec. Ol-mec.",1246000,True,9,5.0,Lisa Simpson,Simpson Home,"No, Maggie. Not Az-tec. Ol-mec. Ol-mec.",no maggie not az-tec ol-mec ol-mec,6.0
14,10642,35,303,Lisa Simpson: Perhaps there is no moral to this story.,1300000,True,9,5.0,Lisa Simpson,Simpson Home,Perhaps there is no moral to this story.,perhaps there is no moral to this story,8.0
15,10647,36,1,"Lisa Simpson: (SOFTLY) Bart... Bart... Hey, Bart.",56000,True,9,5.0,Lisa Simpson,Simpson Home,"Bart... Bart... Hey, Bart.",bart bart hey bart,4.0
16,10649,36,3,"Lisa Simpson: No, no. He's fine.",68000,True,9,5.0,Lisa Simpson,Simpson Home,"No, no. He's fine.",no no hes fine,4.0
17,10651,36,5,"Lisa Simpson: Bart, my birthday is in two days. I'm gonna be eight years old. It's a big number -- almost double digits.",73000,True,9,5.0,Lisa Simpson,Simpson Home,"Bart, my birthday is in two days. I'm gonna be eight years old. It's a big number -- almost double digits.",bart my birthday is in two days im gonna be eight years old its a big number -- almost double digits,21.0
18,10653,36,7,"Lisa Simpson: Bart, will you please let me pour my little heart out?",86000,True,9,5.0,Lisa Simpson,Simpson Home,"Bart, will you please let me pour my little heart out?",bart will you please let me pour my little heart out,11.0
