Time,GEMS_GEMS_SPENT
5/1/18,1199436
5/2/18,1045515
5/3/18,586111
5/4/18,856601
5/5/18,793775
5/6/18,606535
5/7/18,1112763
5/8/18,1121218
5/9/18,813844
5/10/18,903343
5/11/18,863465
5/12/18,639224
5/13/18,1030389
5/14/18,1132645
5/15/18,1018672
5/16/18,1726870
5/17/18,1378430
5/18/18,532950
5/19/18,828238
5/20/18,823948
5/21/18,592549
5/22/18,939337
5/23/18,862611
5/24/18,551557
5/25/18,878375
5/26/18,784535
5/27/18,613603
5/28/18,1054658
5/29/18,1026401
5/30/18,682284
5/31/18,986644
6/1/18,924769
6/2/18,633489
6/3/18,1044957
6/4/18,1088685
6/5/18,798582
6/6/18,1139786
6/7/18,1066560
6/8/18,754706
6/9/18,1199406
6/10/18,1186341
6/11/18,958210
6/12/18,1564553
6/13/18,1470865
6/14/18,1201275
6/15/18,2418723
6/16/18,2123070
6/17/18,978338
6/18/18,1536623
6/19/18,1420586
6/20/18,966259
6/21/18,1232735
6/22/18,1090762
6/23/18,763828
6/24/18,1153383
6/25/18,1074039
6/26/18,733943
6/27/18,1103070
6/28/18,1123779
6/29/18,752524
6/30/18,1123866
7/1/18,1051964
7/2/18,756827
7/3/18,1109486
7/4/18,1059961
7/5/18,691291
7/6/18,985221
7/7/18,932805
7/8/18,641340
7/9/18,1038572
7/10/18,1037868
7/11/18,732303
7/12/18,962492
7/13/18,875898
7/14/18,1029902
7/15/18,1917268
7/16/18,1662445
7/17/18,791812
7/18/18,1061339
7/19/18,968767
7/20/18,685321
7/21/18,1020324
7/22/18,995864
7/23/18,785353
7/24/18,1192613
7/25/18,1068292
7/26/18,710820
7/27/18,1048429
7/28/18,991163
7/29/18,701672
7/30/18,1239717
7/31/18,1261953
8/1/18,857930
8/2/18,1208488
8/3/18,1165563
8/4/18,821228
8/5/18,1304837
8/6/18,1385061
8/7/18,1143864
8/8/18,1420747
8/9/18,1082965
8/10/18,896817
8/11/18,1309864
8/12/18,1389726
8/13/18,1336787
8/14/18,2426361
8/15/18,1893231
8/16/18,795571
8/17/18,1228308
8/18/18,1171824
8/19/18,832872
8/20/18,1647205
8/21/18,1675743
8/22/18,1269681
8/23/18,1904623
8/24/18,1594601
8/25/18,1162089
8/26/18,1754296
8/27/18,1746942
8/28/18,1325245
8/29/18,1614025
8/30/18,1372725
8/31/18,990184
9/1/18,1492608
9/2/18,1426323
9/3/18,1228686
9/4/18,1735632
9/5/18,1470880
9/6/18,1022235
9/7/18,1466472
9/8/18,1381460
9/9/18,1123100
9/10/18,1908051
9/11/18,1925878
9/12/18,1539409
9/13/18,2566462
9/14/18,2046640
9/15/18,949784
9/16/18,1260130
9/17/18,1025393
9/18/18,795070
9/19/18,1005711
9/20/18,934316
9/21/18,672780
9/22/18,977338
9/23/18,952165
9/24/18,799347
9/25/18,1128242
9/26/18,1004572
9/27/18,722362
9/28/18,1017760
9/29/18,969319
9/30/18,732678
10/1/18,1212104
10/2/18,1190644
10/3/18,845058
10/4/18,1125893
10/5/18,1085597
10/6/18,814176
10/7/18,1241656
10/8/18,1458628
10/9/18,1228912
10/10/18,1489464
10/11/18,1445240
10/12/18,1269546
10/13/18,2209056
10/14/18,1872115
10/15/18,1028471
10/16/18,1434433
10/17/18,1274497
10/18/18,918567
10/19/18,1286976
10/20/18,1211880
10/21/18,977253
10/22/18,1491771
10/23/18,1411582
10/24/18,1016348
10/25/18,1447929
10/26/18,1387572
10/27/18,1057798
10/28/18,1505543
10/29/18,1440709
10/30/18,1134088
10/31/18,1434024
11/1/18,1306378
11/2/18,965258
11/3/18,1316822
11/4/18,985845
11/5/18,931888
11/6/18,1290728
11/7/18,1210535
11/8/18,954986
11/9/18,1363671
11/10/18,1413365
11/11/18,1298822
11/12/18,2328862
11/13/18,1880710
11/14/18,898547
11/15/18,1276048
11/16/18,1206946
11/17/18,906266
11/18/18,1365544
11/19/18,1286705
11/20/18,970724
11/21/18,1308139
11/22/18,1223100
11/23/18,925962
11/24/18,1386423
11/25/18,1319390
11/26/18,995244
11/27/18,1365656
11/28/18,1305871
11/29/18,981010
11/30/18,1425631
12/1/18,1334807
12/2/18,1021410
12/3/18,1763160
12/4/18,1765830
12/5/18,1597298
12/6/18,1627717
12/7/18,1589619
12/8/18,1283460
12/9/18,1907036
12/10/18,1940908
12/11/18,1677208
12/12/18,2984329
12/13/18,2524946
12/14/18,1342763
12/15/18,1904900
12/16/18,1815581
12/17/18,1415851
12/18/18,1826552
12/19/18,1708774
12/20/18,1241392
12/21/18,1737367
12/22/18,1913008
12/23/18,1364683
12/24/18,1478238
12/25/18,1342886
12/26/18,1024933
12/27/18,1430514
12/28/18,1372474
12/29/18,1026572
12/30/18,1417844
12/31/18,1679457
1/1/19,1351801
1/2/19,2023723
1/3/19,1543211
1/4/19,1180192
1/5/19,1673992
1/6/19,1707847
1/7/19,1451361
1/8/19,1998262
1/9/19,2162133
1/10/19,2330069
1/11/19,2995029
1/12/19,2421592
1/13/19,1152460
1/14/19,2203248
1/15/19,2135716
1/16/19,1871435
1/17/19,1764628
1/18/19,1985953
1/19/19,1492338
1/20/19,2209397
1/21/19,2136402
1/22/19,1592552
1/23/19,2035135
1/24/19,1806885
1/25/19,1308255
1/26/19,1875120
1/27/19,1722011
1/28/19,1388952
1/29/19,1918963
1/30/19,1783279
1/31/19,1343029
2/1/19,1930747
2/2/19,1826320
2/3/19,1455626
2/4/19,2294555
2/5/19,2172449
2/6/19,1612939
2/7/19,2117962
2/8/19,2164330
2/9/19,1819026
2/10/19,3242154
2/11/19,2894633
2/12/19,1405753
2/13/19,1842610
2/14/19,1707899
2/15/19,1324588
2/16/19,2090271
2/17/19,2119260
2/18/19,1716590
2/19/19,2398088
2/20/19,2166449
2/21/19,1552313
2/22/19,2175548
2/23/19,2122606
2/24/19,1756394
